Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price
1789843,EMERALD,0.52,SI2,I,EX,EX,VG,N,5.18,3.83,2.61,1286.36
1800961,PRINCESS,0.5,VS1,F,EX,EX,GD,F,4.28,4.22,3.07,1799.95
1672690,ROUND,0.5,VVS2,F,EX,EX,EX,ST,5.01,5.05,3.16,2350.94
1800790,HEART,0.3,SI2,G,VG,EX,GD,N,4.01,4.68,2.82,809.51
1789987,OVAL,0.3,VS1,I,VG,GD,GD,N,5.58,3.65,2.15,788.23
1797914,ROUND,0.5,VS1,J,EX,EX,EX,N,5.11,5.13,3.13,2105.05
200711-82,CUSHION,1.21,VS1,U-V,EX,EX,EX,M,6.69,5.87,3.54,2575.46
1765879,PRINCESS,0.5,VS1,G,EX,EX,VG,N,4.23,4.22,3.06,1867.55
1785748,PRINCESS,0.32,VS1,E,EX,EX,GD,N,3.84,3.77,2.61,960.48
1656852,ROUND,0.8,SI2,J,EX,EX,VG,F,5.85,5.89,3.72,2103.9
1615085,CUSHION,0.5,VS1,H,VG,EX,VG,N,4.89,4.25,2.85,1301.12
1619451,CUSHION,0.9,VS1,I,EX,EX,VG,N,5.46,5.3,3.6,3519.17
1785268,HEART,0.3,VS2,D,EX,EX,VG,F,3.98,4.71,2.74,1088.41
1602030,CUSHION,0.9,SI1,F,EX,EX,VG,N,5.74,5.26,3.57,3644.99
200772-70,CUSHION,1.02,SI2,L,EX,EX,EX,M,6.27,5.43,3.63,1609.43
1665795,CUSHION,0.51,VS1,I,EX,EX,EX,M,4.63,4.43,2.97,1373.97
1771545,OVAL,0.4,VS1,H,EX,EX,VG,N,6.15,4.09,2.48,1185.06
1800363,PRINCESS,0.4,VS1,F,EX,VG,GD,N,4.08,4.02,2.93,1344.68
211153-32,PEAR,1.0,VS2,G,EX,EX,EX,F,8.54,5.6,3.47,6976.29
1796236,PRINCESS,0.3,VS2,H,VG,EX,GD,N,3.8,3.7,2.69,837.95
1797555,PRINCESS,0.51,VS2,H,VG,EX,VG,F,4.3,4.24,3.15,1679.27
1786504,EMERALD,0.41,VVS1,I,EX,EX,VG,N,5.15,3.71,2.33,1211.1
1730777,OVAL,0.5,VS2,J,EX,EX,VG,N,6.64,4.42,2.72,1307.33
1655964,ROUND,0.5,SI1,E,EX,EX,EX,N,5.05,5.08,3.18,2527.95
1794866,PRINCESS,0.5,VS2,E,EX,VG,GD,N,4.34,4.28,3.12,1815.28
1632722,CUSHION,0.8,SI1,F,VG,EX,VG,N,5.32,5.08,3.55,2560.39
1752661,ROUND,0.4,VS1,H,VG,EX,VG,N,4.63,4.68,2.92,1445.29
1797430,PEAR,0.9,VS2,G,VG,EX,VG,N,8.3,5.32,3.27,5421.55
1652946,OVAL,0.5,VS2,G,EX,EX,VG,N,6.89,4.29,2.56,1864.9
1786927,ROUND,0.7,SI2,K,EX,EX,EX,M,5.69,5.73,3.54,2057.14
1793966,ROUND,0.5,SI1,I,EX,EX,EX,N,5.08,5.1,3.15,2061.99
211174-18,PEAR,1.01,SI1,D,VG,EX,VG,ST,8.29,5.58,3.54,5330.81
1757403,ROUND,0.72,VVS1,M,EX,VG,VG,N,5.72,5.74,3.53,1985.56
1789160,OVAL,0.5,VVS1,H,EX,EX,VG,F,6.52,4.51,2.65,1741.58
1665776,CUSHION,0.9,SI1,L,EX,EX,EX,F,5.65,5.39,3.59,1550.22
1753743,ROUND,0.5,VS2,D,GD,VG,VG,N,4.85,4.91,3.23,2123.5
1771733,PRINCESS,0.53,SI1,F,EX,VG,VG,N,4.46,4.44,3.13,1661.02
1589338,CUSHION,0.9,VS2,F,EX,EX,EX,N,5.9,5.13,3.48,3680.92
1628629,PRINCESS,0.53,SI1,F,EX,EX,VG,N,4.49,4.49,3.22,1503.19
1665772,CUSHION,0.9,VS1,K,VG,EX,VG,F,5.43,5.28,3.67,2283.52
1789680,ROUND,0.3,VS2,D,EX,VG,VG,N,4.26,4.3,2.64,1156.91
1787928,HEART,0.3,VS1,E,EX,EX,GD,F,4.11,4.64,2.61,1088.41
1773961,ROUND,0.5,VS2,F,GD,VG,VG,N,5.0,5.06,3.13,2103.41
1643189,ROUND,0.5,VS2,H,GD,EX,GD,N,4.95,5.0,3.22,2058.37
211012-71,CUSHION,3.0,VVS1,W-X,EX,EX,EX,M,8.23,7.98,5.09,12997.82
1752903,EMERALD,0.46,VS1,F,VG,EX,VG,N,5.17,3.9,2.41,1370.49
1795763,EMERALD,0.3,VVS2,D,VG,VG,GD,M,5.04,3.19,1.89,906.85
1771774,PRINCESS,0.31,SI1,F,EX,VG,GD,N,3.76,3.73,2.62,850.93
